"종목번호","종목명"
"005930","삼성전자"
"000660","SK하이닉스"
"005935","삼성전자우"
"005380","현대차"
"035420","NAVER"
"015760","한국전력"
"028260","삼성물산"
"012330","현대모비스"
"005490","POSCO"
"055550","신한지주"
"032830","삼성생명"
"105560","KB금융"
"017670","SK텔레콤"
"051910","LG화학"
"034730","SK"
"090430","아모레퍼시픽"
"033780","KT&G"
"000270","기아차"
"207940","삼성바이오로직스"
"051900","LG생활건강"
"096770","SK이노베이션"
"068270","셀트리온"
"066570","LG전자"
"003550","LG"
"000810","삼성화재"
"034220","LG디스플레이"
"251270","넷마블게임즈"
"018260","삼성에스디에스"
"086790","하나금융지주"
"011170","롯데케미칼"
"000030","우리은행"
"002790","아모레G"
"006400","삼성SDI"
"010950","S-Oil"
"009540","현대중공업"
"023530","롯데쇼핑"
"030200","KT"
"010130","고려아연"
"036570","엔씨소프트"
"161390","한국타이어"
"021240","코웨이"
"024110","기업은행"
"004020","현대제철"
"035250","강원랜드"
"032640","LG유플러스"
"009150","삼성전기"
"035720","카카오"
"006800","미래에셋대우"
"078930","GS"
"139480","이마트"
"004800","효성"
"018880","한온시스템"
"086280","현대글로비스"
"088350","한화생명"
"027410","BGF리테일"
"047810","한국항공우주"
"001040","CJ"
"008930","한미사이언스"
"000720","현대건설"
"010140","삼성중공업"
"009830","한화케미칼"
"097950","CJ제일제당"
"001800","오리온"
"036460","한국가스공사"
"005830","동부화재"
"267250","현대로보틱스"
"029780","삼성카드"
"128940","한미약품"
"002380","KCC"
"009240","한샘"
"000120","CJ대한통운"
"005387","현대차2우B"
"007070","GS리테일"
"005940","NH투자증권"
"011070","LG이노텍"
"071050","한국금융지주"
"012750","에스원"
"003490","대한항공"
"012630","현대산업"
"016360","삼성증권"
"241560","두산밥캣"
"000880","한화"
"138930","BNK금융지주"
"001450","현대해상"
"086900","메디톡스"
"026960","동서"
"000210","대림산업"
"130960","CJ E&M"
"042660","대우조선해양"
"047040","대우건설"
"007310","오뚜기"
"088980","맥쿼리인프라"
"004990","롯데제과"
"000100","유한양행"
"005385","현대차우"
"028670","팬오션"
"008560","메리츠종금증권"
"047050","포스코대우"
"069960","현대백화점"
"079440","아이엔지생명"
"204320","만도"
"012450","한화테크윈"
"028050","삼성엔지니어링"
"034020","두산중공업"
"006260","LS"
"000150","두산"
"010620","현대미포조선"
"004170","신세계"
"010060","OCI"
"011780","금호석유"
"003520","영진약품"
"008770","호텔신라"
"004370","농심"
"000060","메리츠화재"
"051600","한전KPS"
"005300","롯데칠성"
"036490","SK머티리얼즈"
"030000","제일기획"
"006280","녹십자"
"016170","로엔"
"006360","GS건설"
"002550","KB손해보험"
"138040","메리츠금융지주"
"000240","한국타이어월드와이드"
"039490","키움증권"
"090435","아모레퍼시픽우"
"041960","코미팜"
"011210","현대위아"
"139130","DGB금융지주"
"006120","SK케미칼"
"000670","영풍"
"120110","코오롱인더"
"064350","현대로템"
"042670","두산인프라코어"
"005440","현대그린푸드"
"084990","바이로메드"
"010120","LS산전"
"001740","SK네트웍스"
"011200","현대상선"
"005610","SPC삼립"
"000080","하이트진로"
"079550","LIG넥스원"
"006650","대한유화"
"082640","동양생명"
"181710","NHN엔터테인먼트"
"145020","휴젤"
"057050","현대홈쇼핑"
"071840","롯데하이마트"
"161890","한국콜마"
"079160","CJ CGV"
"005250","녹십자홀딩스"
"078340","컴투스"
"180640","한진칼"
"051915","LG화학우"
"111770","영원무역"
"028150","GS홈쇼핑"
"017800","현대엘리베이"
"192400","쿠쿠전자"
"003410","쌍용양회"
"215600","신라젠"
"003690","코리안리"
"010780","아이에스동서"
"114090","GKL"
"034230","파라다이스"
"051905","LG생활건강우"
"014820","동원시스템즈"
"002350","넥센타이어"
"102940","코오롱생명과학"
"214320","이노션"
"020560","아시아나항공"
"011790","SKC"
"267270","현대건설기계"
"003240","태광산업"
"240810","원익IPS"
"001440","대한전선"
"035760","CJ오쇼핑"
"036830","솔브레인"
"001230","동국제강"
"018670","SK가스"
"001120","LG상사"
"073240","금호타이어"
"022100","포스코 ICT"
"039030","이오테크닉스"
"267260","현대일렉트릭"
"192820","코스맥스"
"103140","풍산"
"020150","일진머티리얼즈"
"185750","종근당"
"046890","서울반도체"
"006040","동원산업"
"105630","한세실업"
"192080","더블유게임즈"
"069260","휴켐스"
"000070","삼양홀딩스"
"039130","하나투어"
"145990","삼양사"
"089590","제주항공"
"004000","롯데정밀화학"
"096530","씨젠"
"002620","제일약품"
"069620","대웅제약"
"081660","휠라코리아"
"108670","LG하우시스"
"003000","부광약품"
"108230","톱텍"
"006840","AK홀딩스"
"001430","세아베스틸"
"023590","다우기술"
"226320","잇츠한불"
"093370","후성"
"000990","동부하이텍"
"175330","JB금융지주"
"003620","쌍용차"
"001060","JW중외제약"
"001680","대상"
"002020","코오롱"
"049770","동원F&B"
"071320","지역난방공사"
"012510","더존비즈온"
"003670","포스코켐텍"
"008000","도레이케미칼"
"003300","한일시멘트"
"002270","롯데푸드"
"093050","LF"
"123890","한국자산신탁"
"095700","제넥신"
"034830","한국토지신탁"
"014680","한솔케미칼"
"051370","인터플렉스"
"000640","동아쏘시오홀딩스"
"020000","한섬"
"009970","영원무역홀딩스"
"098460","고영"
"115390","락앤락"
"005880","대한해운"
"069080","웹젠"
"170900","동아에스티"
"052690","한전기술"
"003470","유안타증권"
"007570","일양약품"
"053210","스카이라이프"
"237690","에스티팜"
"029460","케이씨텍"
"064960","S&T모티브"
"056190","에스에프에이"
"068760","셀트리온제약"
"005290","동진쎄미켐"
"085620","미래에셋생명"
"025540","한국단자"
"066575","LG전자우"
"048260","오스템임플란트"
"005850","에스엘"
"003090","대웅"
"058470","리노공업"
"214370","케어젠"
"009420","한올바이오파마"
"019680","대교"
"000370","한화손해보험"
"060980","한라홀딩스"
"037560","CJ헬로비전"
"002240","고려제강"
"033920","무학"
"009410","태영건설"
"005180","빙그레"
"237880","클리오"
"192530","광주은행"
